Brand,Product Name,Price (EGP),Discount,URL
LG,LG 50 inch UHD AI UA85 4K Smart TV AI Magic remote HDR10 Pro webOS25-50UA85006LA.AFU (2025 Model),19199.0,28%,https://www.jumia.com.eg/customer/account/login/?tkWl=LG178EL253ZZDNAFAMZ-214299885&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
Samsung,Samsung 55 Inch TV Crystal Processor 4K LED - Titan Gray - UA55U8000FUXEG [2025 Model],20999.0,30%,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024EL2AMWE3NAFAMZ-214185419&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
Samsung,Samsung 65 Inch TV Crystal Processor 4K LED - Titan Gray - UA65U8000FUXEG [2025 Model],25599.0,29%,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024EL2NUQ0RNAFAMZ-214185541&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
Samsung,Samsung 50 Inch TV Crystal Processor 4K LED - Titan Gray - UA50U8000FUXEG [2025 Model],18599.0,26%,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024EL24OKCBNAFAMZ-214185418&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
LG,LG 55 inch UHD AI UA85 4K Smart TV AI Magic remote HDR10 Pro webOS25-55UA85006LA.AFU (2025 Model),22799.0,27%,https://www.jumia.com.eg/customer/account/login/?tkWl=LG178EL2B2C15NAFAMZ-214299886&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
LG,LG 65 Inch UHD AI UA84 ( Without Magic Remote ) 4K Smart TV AI HDR10 WebOS25 2025 - 65UA84006LB,25999.0,28%,https://www.jumia.com.eg/customer/account/login/?tkWl=LG178EL2KO8T5NAFAMZ-215242291&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
Samsung,Samsung 55 Inch QLED-The Frame 4K Smart TV-QA55LS03FAUXEG [2025 Model],34999.0,24%,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024EL3AYCAJNAFAMZ-214185435&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
Samsung,Samsung 55 Inch TV Crystal Processor 4K LED - Titan Gray - UA55U8000FUXEG [2025 Model],20999.0,30%,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024EL2BY1X7NAFAMZ-214185539&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
Samsung,Samsung 65 Inch TV Crystal Processor 4K LED - Titan Gray - UA65U8000FUXEG [2025 Model],25599.0,29%,https://www.jumia.com.eg/customer/account/login/?tkWl=SA024EL2MJKHNNAFAMZ-214185421&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
LG,LG 65 inch UHD AI UA85 4K Smart TV AI Magic remote HDR10 webOS25-65UA85006LA.AFU (2025 Model),26599.0,28%,https://www.jumia.com.eg/customer/account/login/?tkWl=LG178EL2H0O2XNAFAMZ-214299887&return=%2Felectronic-television-video%2F%3Fprice%3D15000-40000%26page%3D1
